epoch,head,loss,lr,tail_base,torso,val_head,val_loss,val_tail_base,val_torso
0,0.00683841947466135,0.005634045694023371,1e-04,0.007292542606592178,0.0027711752336472273,0.007469323463737965,0.004996065981686115,0.006745886988937855,0.0007729870849289
1,0.006305466406047344,0.0045141796581447124,1e-04,0.006760979071259499,0.0004760944575536996,0.006764360703527927,0.004549133591353893,0.0065204375423491,0.0003626015968620777
2,0.006107829976826906,0.004304859787225723,1e-04,0.0064615816809237,0.000345167878549546,0.006779804360121489,0.004627169109880924,0.006482601165771484,0.0006191012216731906
3,0.005866456776857376,0.004121585749089718,1e-04,0.006200290285050869,0.0002980064891744405,0.006437066476792097,0.004362620413303375,0.006309893913567066,0.00034089991822838783
4,0.00566474162042141,0.003987334202975035,1e-04,0.005947405006736517,0.00034985170350410044,0.00602846872061491,0.0041618808172643185,0.005595223046839237,0.0008619502186775208
5,0.005639167968183756,0.0038296105340123177,1e-04,0.005590546876192093,0.0002591082884464413,0.006383130326867104,0.004194570239633322,0.00578021677210927,0.00042036204831674695
6,0.0054965512827038765,0.0037337245885282755,1e-04,0.005434016231447458,0.0002706079976633191,0.006154317408800125,0.00405234657227993,0.005482010077685118,0.0005207121139392257
7,0.005226672627031803,0.003547600470483303,1e-04,0.005131557118147612,0.0002845672715920955,0.0061625041998922825,0.004068928770720959,0.005702822934836149,0.0003414594102650881
8,0.005017561838030815,0.003374939551576972,1e-04,0.004839824978262186,0.0002674286952242255,0.005801494233310223,0.0038861073553562164,0.005465933121740818,0.00039089497295208275
9,0.004650477319955826,0.0031187457498162985,1e-04,0.004439885262399912,0.0002658736193552613,0.00537664070725441,0.0035724504850804806,0.004901533480733633,0.00043917872244492173
10,0.004474611487239599,0.002933608368039131,1e-04,0.004068514332175255,0.00025770036154426634,0.005159475840628147,0.0031502011697739363,0.003942845389246941,0.0003482814063318074
11,0.004068304318934679,0.0026590332854539156,1e-04,0.003672664985060692,0.00023612959193997085,0.004882791079580784,0.0031782344449311495,0.004360031336545944,0.00029188059852458537
12,0.00395266292616725,0.002588630886748433,1e-04,0.0035842396318912506,0.00022899081523064524,0.0049001798033714294,0.002952743321657181,0.0036774612963199615,0.00028058906900696456
13,0.003814754309132695,0.0024592026602476835,1e-04,0.003354849759489298,0.00020800033234991133,0.004446281585842371,0.002891009673476219,0.003929921425879002,0.0002968252229038626
14,0.003627048572525382,0.0023085661232471466,1e-04,0.0031426071655005217,0.0001560427190270275,0.00461368216201663,0.003012435045093298,0.004213090520352125,0.0002105320309055969
15,0.003482203232124448,0.002251268830150366,1e-04,0.0031177971977740526,0.00015380507102236152,0.004975011106580496,0.003170192241668701,0.004206238314509392,0.0003293273621238768
16,0.003388858400285244,0.0021381997503340244,1e-04,0.002889476716518402,0.00013626193685922772,0.0044027515687048435,0.002760621253401041,0.0036352467723190784,0.00024386431323364377
17,0.0032964919228106737,0.0020866061095148325,1e-04,0.0028377058915793896,0.00012562006304506212,0.004892183933407068,0.0032027014531195164,0.004178870934993029,0.0005370487924665213
